Detector,E_log,LogCounts,y_calibrated,ydy
# Detector n:            1   Engy_SV,2.0733215734859562e-07,0.0,4.044943206557399,0.0
# Detector n:            1   Engy_SV,2.1544346900318846e-07,0.0,4.20319070368034,0.0
# Detector n:            1   Engy_SV,2.23872113856834e-07,0.0,4.36762920746688,0.0
# Detector n:            1   Engy_SV,2.3263050671536265e-07,0.0,4.538500924360759,0.0
# Detector n:            1   Engy_SV,2.4173154808041036e-07,0.0,4.716057536479795,0.0
# Detector n:            1   Engy_SV,2.5118864315095796e-07,5.030735549746656e-09,4.900560572326096,1.5722023496934293e-15
# Detector n:            1   Engy_SV,2.610157215682536e-07,2.670992627821861e-07,5.092281791999287,9.013282335049168e-14
# Detector n:            1   Engy_SV,2.712272579332027e-07,5.394205145626491e-07,5.291503587480183,1.9654910847030833e-13
# Detector n:            1   Engy_SV,2.818382931264455e-07,8.223956010960479e-07,5.498519398574475,3.23562163944776e-13
# Detector n:            1   Engy_SV,2.928644564625237e-07,1.1164413249425823e-06,5.713634145129077,4.742924259659188e-13
# Detector n:            1   Engy_SV,3.0432198871077227e-07,1.4219907949388744e-06,5.937164676157813,6.522895250027487e-13
# Detector n:            1   Engy_SV,3.1622776601683797e-07,1.7394940641370346e-06,6.169440236537893,8.615885200096898e-13
# Detector n:            1   Engy_SV,3.2859932476006543e-07,2.069418792701424e-06,6.410802951964645,1.1067733025442075e-12
# Detector n:            1   Engy_SV,3.414548873833601e-07,2.4122509367394463e-06,6.661608332878804,1.3930480702493682e-12
# Detector n:            1   Engy_SV,3.5481338923357537e-07,2.7684954640809873e-06,6.922225798108584,1.7263178808693306e-12
# Detector n:            1   Engy_SV,3.686945064519577e-07,3.1386770980608075e-06,7.193039218997839,2.113279423465473e-12
# Detector n:            1   Engy_SV,3.831186849557289e-07,3.523341090399378e-06,7.47444748482176,2.56152328448282e-12
# Detector n:            1   Engy_SV,3.9810717055349735e-07,3.923054024320666e-06,7.7668650903229715,3.079649144683447e-12
# Detector n:            1   Engy_SV,4.1368204023885077e-07,4.338404649089671e-06,8.070722746233356,3.677395520850966e-12
# Detector n:            1   Engy_SV,4.2986623470822767e-07,4.770004747199014e-06,8.386468013680906,4.365785865976333e-12
# Detector n:            1   Engy_SV,4.4668359215096306e-07,5.218490035481882e-06,8.714565963416058,5.1572930660509126e-12
# Detector n:            1   Engy_SV,4.641588833612778e-07,5.684521101478555e-06,9.055499860828442,6.066024623639284e-12
# Detector n:            1   Engy_SV,4.823178482239305e-07,6.1687843764357775e-06,9.409771877763104,7.107931101473272e-12
# Detector n:            1   Engy_SV,5.011872336272725e-07,6.7693291687804634e-06,9.77790383218459,8.422142503065043e-12
# Detector n:            1   Engy_SV,5.207948328595465e-07,1.748550959239366e-05,10.160437956778381,2.3490300888232015e-11
# Detector n:            1   Engy_SV,5.411695265464638e-07,2.8620931682491946e-05,10.557937697621849,4.151713596104489e-11
# Detector n:            1   Engy_SV,5.62341325190349e-07,4.0191997138931824e-05,10.970988544100994,6.295301570417391e-11
# Detector n:            1   Engy_SV,5.843414133735175e-07,5.2215749333855274e-05,11.400198891295473,8.831038960118841e-11
# Detector n:            1   Engy_SV,6.072021956909884e-07,6.470989841538727e-05,11.846200936102091,1.181719323862894e-10
# Detector n:            1   Engy_SV,6.309573444801931e-07,7.769284739344887e-05,12.309651608416743,1.5319972684681916e-10
# Detector n:            1   Engy_SV,6.556418494179792e-07,9.1183719246107e-05,12.791233538746312,1.941456160811599e-10
# Detector n:            1   Engy_SV,6.812920690579616e-07,0.00010520238508638586,13.291656063675752,2.41862871814866e-10
# Detector n:            1   Engy_SV,7.079457843841381e-07,0.00011976949343103176,13.81165627067144,2.9731934357788006e-10
# Detector n:            1   Engy_SV,7.356422544596413e-07,0.0001349065006143367,14.352000083759565,3.616122739912498e-10
# Detector n:            1   Engy_SV,7.644222742526003e-07,0.00016638631171447254,14.913483391678781,4.815719847779815e-10
# Detector n:            1   Engy_SV,7.943282347242813e-07,0.0002178245637257639,15.496933220168781,6.807439737670933e-10
# Detector n:            1   Engy_SV,8.254041852680183e-07,0.00027127519866099143,16.10320895012155,9.154199568203154e-10
# Detector n:            1   Engy_SV,8.576958985908938e-07,0.00032681694557633735,16.73320358338942,1.1908256647988122e-09
# Detector n:            1   Engy_SV,8.912509381337459e-07,0.000384531613590043,17.38784505811454,1.51289575032442e-09
# Detector n:            1   Engy_SV,9.261187281287938e-07,0.0004445042123815253,18.068097615516937,1.8883659761819213e-09
# Detector n:            1   Engy_SV,9.623506263980887e-07,0.0005068230774047125,18.77496322015468,2.324877106078328e-09
# Detector n:            1   Engy_SV,1.0000000000000002e-06,0.0005715800000000002,19.5094830357477,2.8310919618541618e-09
# Detector n:            1   Engy_SV,1.0391223038351692e-06,0.0007431272391249118,20.2727389587393,3.9744173173530486e-09
# Detector n:            1   Engy_SV,1.0797751623277093e-06,0.0009242275931374796,21.065855211854164,5.3373114939345535e-09
# Detector n:            1   Engy_SV,1.122018454301963e-06,0.001112413010224385,21.89,6.936541870403638e-09
# Detector n:            1   Engy_SV,1.1659144011798325e-06,0.001307960674375918,22.746387230951875,8.806533114121258e-09
# Detector n:            1   Engy_SV,1.211527658628589e-06,0.0015111586136586385,23.636278303353585,1.0986356064080669e-08
# Detector n:            1   Engy_SV,1.2589254117941676e-06,0.0017361375531238393,24.560983964669997,1.3628908746563853e-08
# Detector n:            1   Engy_SV,1.3081774742601944e-06,0.0020415003404132053,25.521866241826533,1.73045273894092e-08
# Detector n:            1   Engy_SV,1.3593563908785255e-06,0.0023588096234468583,26.52034044737981,2.15891980414073e-08
# Detector n:            1   Engy_SV,1.4125375446227541e-06,0.002688532776661076,27.557877264174326,2.6570044883959262e-08
# Detector n:            1   Engy_SV,1.4677992676220692e-06,0.0030311554592568294,28.636004911555652,3.234584466429029e-08
# Detector n:            1   Engy_SV,1.5252229565390184e-06,0.003357727215390468,29.75631139633093,3.8689135894756024e-08
# Detector n:            1   Engy_SV,1.584893192461114e-06,0.003655123671226193,30.920446851792118,4.547566185341698e-08
# Detector n:            1   Engy_SV,1.646897865482869e-06,0.003964154961566619,32.13012596824713,5.325506375592583e-08
# Detector n:            1   Engy_SV,1.7113283041617812e-06,0.004285276267942317,33.38713051863915,6.216163730114805e-08
# Detector n:            1   Engy_SV,1.778279410038923e-06,0.004501549998826467,34.69331198297379,7.050810309068862e-08
# Detector n:            1   Engy_SV,1.8478497974222908e-06,0.004548857862247158,36.05059427542,7.693299726238282e-08
# Detector n:            1   Engy_SV,1.9201419386388013e-06,0.004598016518274385,37.46097657810139,8.396806522869748e-08
# Detector n:            1   Engy_SV,1.995262314968879e-06,0.004649098374178838,38.92653628575202,9.167389597671584e-08
# Detector n:            1   Engy_SV,2.073321573485956e-06,0.004690607218212697,40.44943206557398,9.98709896573471e-08
# Detector n:            1   Engy_SV,2.1544346900318848e-06,0.00473278603881658,42.0319070368034,1.0880791553285937e-07
# Detector n:            1   Engy_SV,2.23872113856834e-06,0.004776614992055537,43.6762920746688,1.1857610759454462e-07
# Detector n:            1   Engy_SV,2.3263050671536263e-06,0.0046917302586098044,45.38500924360758,1.257602294955049e-07
# Detector n:            1   Engy_SV,2.4173154808041036e-06,0.004581425637265426,47.16057536479794,1.3260022501350584e-07
# Detector n:            1   Engy_SV,2.5118864315095797e-06,0.0044451634191693444,49.00560572326097,1.389199711112079e-07
# Detector n:            1   Engy_SV,2.610157215682536e-06,0.004130696909815884,50.92281791999289,1.3939064114544909e-07
# Detector n:            1   Engy_SV,2.712272579332027e-06,0.0038039277461375132,52.915035874801845,1.3860403655485437e-07
# Detector n:            1   Engy_SV,2.818382931264455e-06,0.003486745753133543,54.985193985744765,1.3718203252857463e-07
# Detector n:            1   Engy_SV,2.9286445646252375e-06,0.0031705153886548193,57.136341451290775,1.3469148818230187e-07
# Detector n:            1   Engy_SV,3.0432198871077224e-06,0.0028594768368118647,59.37164676157814,1.31168696329047e-07
# Detector n:            1   Engy_SV,3.1622776601683796e-06,0.002567547177267133,61.69440236537893,1.2717313718538647e-07
# Detector n:            1   Engy_SV,3.2859932476006545e-06,0.002292191154963719,64.10802951964645,1.225917143300943e-07
# Detector n:            1   Engy_SV,3.414548873833601e-06,0.0020798172604268913,66.61608332878804,1.2010713218025177e-07
# Detector n:            1   Engy_SV,3.5481338923357534e-06,0.001879685186919724,69.22225798108582,1.1720929980508008e-07
# Detector n:            1   Engy_SV,3.6869450645195774e-06,0.001710890801544194,71.93039218997839,1.1519472101585548e-07
# Detector n:            1   Engy_SV,3.831186849557289e-06,0.001546398202478128,74.7444748482176,1.1242553306926921e-07
# Detector n:            1   Engy_SV,3.981071705534973e-06,0.0013845225580222291,77.66865090322972,1.086868466550481e-07
# Detector n:            1   Engy_SV,4.136820402388508e-06,0.001328773258598096,80.70722746233355,1.1263183646137065e-07
# Detector n:            1   Engy_SV,4.298662347082277e-06,0.0012339018570662972,83.86468013680907,1.1293387686344028e-07
# Detector n:            1   Engy_SV,4.466835921509631e-06,0.001000678744050443,87.14565963416058,9.889438348921429e-08
# Detector n:            1   Engy_SV,4.641588833612778e-06,0.0009251822332774444,90.55499860828442,9.872737048957075e-08
# Detector n:            1   Engy_SV,4.823178482239305e-06,0.0008465388415670106,94.09771877763104,9.754174231740477e-08
# Detector n:            1   Engy_SV,5.011872336272725e-06,0.0006990154327224381,97.7790383218459,8.696884786429534e-08
# Detector n:            1   Engy_SV,5.207948328595465e-06,0.0005604289213487257,101.6043795677838,7.528887802432482e-08
# Detector n:            1   Engy_SV,5.411695265464638e-06,0.0005471622543516233,105.57937697621848,7.9370615739125e-08
# Detector n:            1   Engy_SV,5.623413251903491e-06,0.0005142470842398692,109.70988544100997,8.054689260171093e-08
# Detector n:            1   Engy_SV,5.843414133735175e-06,0.0004601301705170833,114.00198891295473,7.781995881322863e-08
# Detector n:            1   Engy_SV,6.072021956909884e-06,0.0004272206289556023,118.46200936102092,7.80181834854567e-08
# Detector n:            1   Engy_SV,6.3095734448019305e-06,0.000367159898814076,123.09651608416743,7.239893773305722e-08
# Detector n:            1   Engy_SV,6.556418494179793e-06,0.00028926803727367646,127.91233538746314,6.159007526059382e-08
# Detector n:            1   Engy_SV,6.812920690579616e-06,0.00022679850876842591,132.9165606367575,5.2141535202854616e-08
# Detector n:            1   Engy_SV,7.079457843841382e-06,0.00019818622833837828,138.11656270671443,4.919833726246302e-08
# Detector n:            1   Engy_SV,7.3564225445964146e-06,0.0001994323359033717,143.52000083759566,5.3457157486850584e-08
# Detector n:            1   Engy_SV,7.644222742526003e-06,0.00015140381109822297,149.13483391678778,4.3820812579007244e-08
# Detector n:            1   Engy_SV,7.943282347242813e-06,0.0001528444607958199,154.96933220168782,4.776685596461429e-08
# Detector n:            1   Engy_SV,8.254041852680183e-06,0.00012321969508924312,161.03208950121555,4.158056781997571e-08
# Detector n:            1   Engy_SV,8.576958985908938e-06,0.00010453744717626083,167.33203583389422,3.8090397916947764e-08
# Detector n:            1   Engy_SV,8.91250938133746e-06,6.590055445241823e-05,173.87845058114536,2.592782108193046e-08
# Detector n:            1   Engy_SV,9.261187281287937e-06,5.346610207800684e-05,180.68097615516936,2.2713748313484806e-08
# Detector n:            1   Engy_SV,9.623506263980888e-06,4.196924832229346e-05,187.74963220154683,1.9251953775163493e-08
# Detector n:            1   Engy_SV,1e-05,4e-05,195.09483035747698,1.9812393448715213e-08
# Detector n:            1   Engy_SV,1.0391223038351691e-05,2.144890912915547e-05,202.727389587393,1.1471375478260229e-08
# Detector n:            1   Engy_SV,1.0797751623277095e-05,1.667e-05,210.65855211854165,9.626739481111148e-09
# Detector n:            1   Engy_SV,1.122018454301963e-05,2.8410239833806644e-05,218.9,1.771543629426433e-08
# Detector n:            1   Engy_SV,1.1659144011798312e-05,1.69642395280675e-05,227.46387230951854,1.1422066434152849e-08
# Detector n:            1   Engy_SV,1.2115276586285877e-05,1.5129904807220679e-05,236.36278303353564,1.0999674020011279e-08
# Detector n:            1   Engy_SV,1.2589254117941663e-05,7.856935900398244e-06,245.60983964669973,6.1677982957892284e-09
# Detector n:            1   Engy_SV,1.308177474260193e-05,3.333e-06,255.21866241826507,2.8251765942506267e-09
# Detector n:            1   Engy_SV,1.359356390878527e-05,6.667e-06,265.2034044737984,6.102026289503372e-09
